,episode,reward
939,939,3411.7707011896837
940,940,885.9667604121578
941,941,8912.020561481533
942,942,6090.434499579571
943,943,1313.225789166882
944,944,-1239.271123690081
945,945,-1198.225644982135
946,946,4640.781874740615
947,947,-922.3602118144233
948,948,629.9880538509324
949,949,7225.7716433616415
950,950,6891.118202847773
951,951,-1650.2566556273518
952,952,1210.8548420085062
953,953,697.7594303686324
954,954,-870.054175127774
955,955,-744.3788196025764
956,956,3578.056357154863
957,957,4789.526575068965
958,958,8549.371381382245
959,959,1574.7779890266297
960,960,-1859.0620862281278
961,961,2508.8623693704635
962,962,7352.161532100545
963,963,-544.3880670046331
964,964,4924.5819888102915
965,965,10773.817308118896
966,966,3344.64924128625
967,967,882.1326844681016
968,968,1293.7195723911973
969,969,4135.512576662528
970,970,4643.237205743298
971,971,6544.285342023051
972,972,-2217.978531560174
973,973,-119.9562463449206
974,974,4772.94857157783
975,975,-2666.20226645472
976,976,1244.8646993575117
977,977,3842.143919770356
978,978,6681.071667935039
979,979,-1066.110509450701
980,980,-394.3232700589592
981,981,7788.197104828516
982,982,-890.2994526697221
983,983,551.8599433709164
984,984,409.2018855364877
985,985,2284.669518035629
986,986,1255.9130362491928
987,987,46.80652871591292
988,988,-2269.32221147537
989,989,-1513.2726827588904
990,990,-191.09196782466802
991,991,3954.486180355064
992,992,931.8053515686815
993,993,-1770.671592519096
994,994,-272.3049073764914
995,995,10029.610086041634
996,996,-2105.3084464901485
997,997,4051.295675430374
998,998,-1562.2145874000876
999,999,5361.09204980428
1000,1000,-77.75905083392195
1001,1001,-2716.1326624502162
1002,1002,2615.924760462801
1003,1003,5242.299958863996
1004,1004,9839.667326309609
1005,1005,7286.360086784326
1006,1006,8412.791952473055
1007,1007,2587.073232860471
1008,1008,3492.459627026242
1009,1009,1578.559591088414
1010,1010,6612.389678910053
1011,1011,1942.9900791056684
1012,1012,1565.0013473511603
1013,1013,-1716.8460120500947
1014,1014,-431.7371472559323
1015,1015,2759.3531730846253
1016,1016,-2219.594021781721
1017,1017,356.32586561564585
1018,1018,-342.46594152746457
1019,1019,4808.010126915242
1020,1020,7427.914251834702
1021,1021,5704.300178450993
1022,1022,-1100.1656724395266
1023,1023,5106.3550041455155
1024,1024,7980.928931992632
1025,1025,1822.5715723827057
1026,1026,2783.8493436769204
1027,1027,13126.955201610223
1028,1028,-1736.4541515557216
1029,1029,7652.283105954213
1030,1030,4839.928065759617
1031,1031,9020.514662794003
1032,1032,-105.97622042023681
1033,1033,1530.1426064659695
1034,1034,9038.033790891068
1035,1035,764.7902334492096
1036,1036,1405.310115189321
1037,1037,3669.150780899546
1038,1038,-52.78507128894921
1039,1039,11113.255382973808
1040,1040,1145.5931653256416
1041,1041,3917.212044968426
1042,1042,9011.523175392484
1043,1043,843.294657449464
1044,1044,-3009.4910622531515
1045,1045,-3111.294531993427
1046,1046,-1942.9385626668752
1047,1047,6758.616602991355
1048,1048,-104.33341807528495
1049,1049,5060.349319173341
1050,1050,8312.033783250858
1051,1051,8446.855428557137
1052,1052,6640.750789674386
1053,1053,4866.1792717968865
1054,1054,676.036748750138
1055,1055,-3050.5983434320297
1056,1056,-2896.413222566815
1057,1057,1769.697870969273
1058,1058,923.9383679037151
1059,1059,565.5861700351802
1060,1060,1525.1068751253301
1061,1061,3153.761586812774
1062,1062,12385.638291055906
1063,1063,3383.0483152026914
1064,1064,1787.4983011474296
